uid,号码,商户名称,比对结果,entName,regOrg,address,province,city,county,areaCode,entStatus,区号,一致否
137,01082527568,醉爱时尚餐厅,精确一致,,,,,,,,,,
138,01082540801,北京永辉超市有限公司,模糊一致,北京永辉超市有限公司,北京市工商行政管理局石景山分局,北京市石景山区鲁谷大街东侧,北京,北京市,石景山区,110107,在营（开业）,010,一致
139,01082541777,中科院数学所,精确一致,,,,,,,,,,
140,01082659968,达内教育,模糊一致,,,,,,,,,,
141,01083534818,北京天岐祥小商品市场,精确一致,,,,,,,,,,
142,01083607370,邻里家北京商贸有限公司,精确一致,,,,,,,,,,
143,01083610040,北斗航天文化传媒有限公司,精确一致,,,,,,,,,,
144,01083701628,永吉超市,精确一致,,,,,,,,,,
145,01083872336,北京实力源科技开发有限公司,精确一致,,,,,,,,,,
146,01084297557,北京链家丰和园店,精确一致,,,,,,,,,,
147,01084445773,CICI纤美远洋未来广场店,精确一致,,,,,,,,,,
148,01084683002,柒拾壹北京有限公司,精确一致,,,,,,,,,,
149,01084701525,和平医院,精确一致,,,,,,,,,,
150,01084795555,北京燕豪汽车销售有限公司,精确一致,,,,,,,,,,
151,01084832851*812,北京亨利伟河科技有限公司,精确一致,,,,,,,,,,
152,01084860231,北京神舟绿谷,精确一致,,,,,,,,,,
153,01084963855,智银投资,精确一致,,,,,,,,,,
154,01085180966,中美联泰大都会有限公司,精确一致,,,,,,,,,,
155,01085209000,史赛克,模糊一致,,,,,,,,,,
156,01085278090,上品折扣,精确一致,,,,,,,,,,
157,01085315755,小老虎投资管理咨询有限公司,精确一致,,,,,,,,,,
158,01085522791,北京链家珠江罗马店,精确一致,,,,,,,,,,
159,01085628888,北京吉利大厦,精确一致,,,,,,,,,,
160,01085710156,北京途歌科技有限公司,精确一致,北京途歌科技有限公司,北京市工商行政管理局海淀分局,北京市海淀区海淀大街3号1幢8层801室-810L-182,北京,北京市,海淀区,110108,在营（开业）,010,一致
161,01085755310,北京六膳门科技有限公司,精确一致,北京六膳门科技有限公司,北京市工商行政管理局海淀分局,北京市海淀区西小口路66号中关村东升科技园B-2楼D101A-126室,北京,北京市,海淀区,110108,在营（开业）,010,一致
162,01085858799,印巷小馆北京餐饮管理有限公司,精确一致,,,,,,,,,,
163,01085894355,北京亿豪国际,精确一致,,,,,,,,,,
164,01085897509,酷得少年文化传播有限公司,精确一致,,,,,,,,,,
165,01086781888,北京牧德科技有限公司,精确一致,,,,,,,,,,
166,01087101789,北京仁泽公益基金会,精确一致,,,,,,,,,,
167,01087322357,中创梅隆文化科技有限公司,模糊一致,,,,,,,,,,
168,01087323328,大东海,精确一致,,,,,,,,,,
169,01087555559*8038,北京金台恒达科技发展公司,精确一致,,,,,,,,,,
170,01087586356,佳乐凝春,精确一致,,,,,,,,,,
171,01087717171,北京乐城国际学校,模糊一致,,,,,,,,,,
172,01087818811,北京大红门服装商贸城三期市场,精确一致,,,,,,,,,,
173,01087874078,红珊瑚药业集团,不一致,,,,,,,,,,
174,01088121122,北京肿瘤医院,精确一致,,,,,,,,,,
175,01088139970*8012,北京锐康麦德科技有限公司,精确一致,北京锐康麦德科技有限公司,北京市工商行政管理局丰台分局,北京市丰台区汽车博物馆东路1号院4号楼北座1202室,北京,北京市,丰台区,110106,在营（开业）,010,一致
176,01088225558,华熙PARTY匯,无法匹配,,,,,,,,,,
177,01088268899,北京中意鹏奥酒店管理有限公司,精确一致,,,,,,,,,,
178,01088380855,北京中业汇智教育,精确一致,,,,,,,,,,
179,01088501088,北京国信网联科技有限公司,精确一致,北京国信网联科技有限公司,北京市工商行政管理局石景山分局,北京市石景山区实兴大街30号院17号楼4层67号,北京,北京市,石景山区,110107,在营（开业）,010,一致
180,01088598888,世纪金源大饭店,精确一致,,,,,,,,,,
181,01088622751,北京市地质工程公司,精确一致,北京市地质工程公司,北京市工商行政管理局海淀分局,北京市海淀区田村路39号,北京,北京市,海淀区,110108,在营（开业）,010,一致
182,01088702050,比亚迪北京鹏天奥汽车有限公司,精确一致,,,,,,,,,,
183,01088878859,北京金源在线上网服务公司,精确一致,,,,,,,,,,
184,01089035155,绿地花都嘉园物业服务中心,不一致,,,,,,,,,,
185,01089127864,京东集团,无法匹配,,,,,,,,,,
186,01089215233,北京好利集团有限公司,精确一致,,,,,,,,,,
187,01089218080*833,北京市太平桥印刷材料厂,精确一致,北京市太平桥印刷材料厂,北京市工商行政管理局大兴分局,北京市大兴区榆垡镇榆昌路6号,北京,北京市,大兴区,110115,在营（开业）,010,一致
188,01089462850,北京吉禾顺餐饮管理有限公司,精确一致,北京吉禾顺餐饮管理有限公司,北京市工商行政管理局顺义分局,北京市顺义区仁和镇新顺南大街8号院1幢F4-05(华联商厦),北京,北京市,顺义区,110113,在营（开业）,010,一致
189,01089771096,侨银通能源有限公司,精确一致,,,,,,,,,,
190,02028085086,嘉音讯通讯有限公司,模糊一致,,,,,,,,,,
191,02028601481,泳安广告设计有限公司,精确一致,,,,,,,,,,
192,02028609680,国光股份有限公司,精确一致,,,,,,,,,,
193,02032015300,广州生物医药与健康研究院,模糊一致,,,,,,,,,,
194,02032111888,欧菲影像技术（广州）公司,精确一致,,,,,,,,,,
195,02034173175,华夏银行海珠支行,精确一致,,,,,,,,,,
196,02034499166,广州潮派娱乐有限公司,模糊一致,,,,,,,,,,
197,02034566468,广东稼园农副产品供应链公司,精确一致,,,,,,,,,,
198,02034663156,广州造纸集团有限公司,精确一致,广州造纸集团有限公司,广州市工商行政管理局,广州市南沙区珠江街新广一路29号,广东,广州市,南沙区,440115,在营（开业）,020,一致
199,02034820399,乡下农庄,精确一致,,,,,,,,,,
200,02036308688,维也纳酒店有限公司三元里店,精确一致,,,,,,,,,,
201,02036591339,广州中医药大学第一附属医院,精确一致,,,,,,,,,,
202,02036610756,吉瑞货运代理有限公司,不一致,,,,,,,,,,
203,02036633171,罗岗村经济合作社,精确一致,,,,,,,,,,
204,02036689122,广州市泰道饮食服务有限公司,精确一致,广州市泰道饮食服务有限公司,广州市白云区工商行政管理局,广州市白云区云城东路505号301房,广东,广州市,白云区,440111,在营（开业）,020,一致
205,02036867888,广州优尼冲压有限公司,精确一致,广州优尼冲压有限公司,广州市花都区工商行政管理局,广州市花都区花港大道西侧,广东,广州市,花都区,440114,在营（开业）,020,一致
206,02036898916,广州市花都区监察委员会,无法匹配,,,,,,,,,,
207,02036987873,夜派对新浩骏娱乐城,精确一致,,,,,,,,,,
208,02037314588*8034,广东久量光电科技有限公司,精确一致,广东久量股份有限公司,广州市工商行政管理局,广州市白云区广州民营科技园科园路12号,广东,广州市,白云区,440111,在营（开业）,020,一致
209,02038567888,广东天美联盟有限公司,精确一致,,,,,,,,,,
210,02038802585,广东省外贸开发有限公司,精确一致,广东省外贸开发有限公司,广东省工商行政管理局,广东省广州市天河区天河路351号广东外经贸大厦15-18楼,广东,广州市,天河区,440106,在营（开业）,020,一致
211,02038868300,大雅乐盟,精确一致,,,,,,,,,,
212,02038875888,广州紫方实业有限公司,无法匹配,广州紫方实业有限公司,广州市天河区工商行政管理局,广州市天河区兴盛路11号301房自编2-12.、2-13,广东,广州市,天河区,440106,在营（开业）,020,一致
213,02038882777*3737,广州富力地产股份有限公司,精确一致,广州富力地产股份有限公司,广州市工商行政管理局,广州市天河区珠江新城华夏路10号富力中心45-54楼(仅限办公）,广东,广州市,天河区,440106,在营（开业）,020,一致
214,02039358688,广东新岸线,精确一致,,,,,,,,,,
215,02039961536,广州市富精模具有限公司,精确一致,广州市富精模具有限公司,广州市番禺区工商行政管理局,广州市番禺区石基镇市莲路石基村段181号食堂A区,广东,广州市,番禺区,440113,在营（开业）,020,一致
216,02061736878,唯超服装厂,精确一致,,,,,,,,,,
217,02066357223,亿康足道,精确一致,,,,,,,,,,
218,02066664099,维景水疗会,精确一致,,,,,,,,,,
219,02066824888,优视科技,精确一致,,,,,,,,,,
220,02066830555,艾依格家居制品有限公司,精确一致,,,,,,,,,,
221,02081522621,广州赛壹汽车服务有限公司,精确一致,广州赛壹汽车服务有限公司,广州市荔湾区工商行政管理局,广州市荔湾区东漖南路29号102房,广东,广州市,荔湾区,440103,在营（开业）,020,一致
222,02081554239*110,广州市坚毅化工有限公司,精确一致,,,,,,,,,,
223,02081808822,广州立白企业集团有限公司,精确一致,广州立白企业集团有限公司,广州市工商行政管理局,广州市荔湾区陆居路二号,广东,广州市,荔湾区,440103,在营（开业）,020,一致
224,02082075980*8903,广州泽鸿电子,精确一致,,,,,,,,,,
225,02082155555*5301,通标标准技术服务有限公司,精确一致,通标标准技术服务有限公司,北京市工商行政管理局海淀分局,北京市海淀区阜成路73号世纪裕惠大厦16层,北京,北京市,海淀区,110108,在营（开业）,020,不一致
226,02082183333,广州市家富富侨公司,精确一致,,,,,,,,,,
227,02082251159,广州天赐高新材料有限公司,模糊一致,,,,,,,,,,
228,02082277941,广州农商银行,精确一致,,,,,,,,,,
229,02082340168*62053,建兴光电科技广州有限公司,精确一致,,,,,,,,,,
230,02082384899,广州市咏景物流有限公司,精确一致,广州市咏景物流有限公司,广州市黄埔区市场和质量监督管理局,广州市黄埔区沙岭岗8号201（仅限办公用途）,广东,广州市,黄埔区,440112,在营（开业）,020,一致
231,02082389933,广州黄浦文冲造船有限公司,精确一致,,,,,,,,,,
232,02082636253,社区教育学院,精确一致,,,,,,,,,,
233,02082752293,增城区伟培交通学校,精确一致,,,,,,,,,,
234,02083142828,怡和科技有限分公司,精确一致,,,,,,,,,,
235,02083814202,乐品网咖,精确一致,,,,,,,,,,
236,02083834010,广州市三建公司,精确一致,,,,,,,,,,
237,02083853400,广东曼陀罗医疗科技有限公司,精确一致,广东曼陀罗医疗科技有限公司,广州市越秀区工商行政管理局,广州市越秀区东风东路555号2605房（仅限办公使用）,广东,广州市,越秀区,440104,在营（开业）,020,一致
238,02084399388,广东金熙,精确一致,,,,,,,,,,
239,02084476927,广州市海珠区商务职业学校,精确一致,,,,,,,,,,
240,02084516188,品汇水疗,精确一致,,,,,,,,,,
241,02084796100,长隆飞鸟乐园,精确一致,,,,,,,,,,
242,02084856668,广东文穗塑料机械有限公司,模糊一致,,,,,,,,,,
243,02084873338,广州市捷进制衣厂有限公司,精确一致,广州市捷进制衣厂有限公司,广州市番禺区工商行政管理局,广州市番禺区沙头街禺山西路３６３号联邦工业城A10幢、A9幢东半座、A8幢首层及第三层,广东,广州市,番禺区,440113,在营（开业）,020,一致
244,02084902268,广东拉多美化肥有限公司,模糊一致,广东拉多美化肥有限公司,广州市南沙区市场和质量监督管理局,广州市南沙区东涌镇三沙港路28号,广东,广州市,南沙区,440115,在营（开业）,020,一致
245,02085556668,蓝月亮,模糊一致,蓝月亮,华宁县市场监督管理局,宁州镇人行门市,云南,玉溪市,华宁县,,吊销,020,不一致
246,02085648722,广东长电成套电器有限公司,精确一致,广东长电成套电器有限公司,佛山市三水区市场监督管理局,佛山市三水区大塘镇工业园开元路17-3号,广东,佛山市,三水区,440607,在营（开业）,020,不一致
247,02086088809,金珀丽休闲会所,精确一致,,,,,,,,,,
248,02086164402,广州市华力盈网架钢结构公司,精确一致,,,,,,,,,,
249,02086603842,江高镇市政管理所,精确一致,,,,,,,,,,
250,02086757777,好丽友（广州）食品有限公司,模糊一致,,,,,,,,,,
251,02086822222,中华酒店,精确一致,,,,,,,,,,
252,02087348478,佳义文具批发有限公司,精确一致,,,,,,,,,,
253,02087601638,广东美科贸易有限公司,精确一致,广东美科贸易有限公司,广东省工商行政管理局,广东省广州市越秀区东风东路745号东山紫园商务大厦6层614房,广东,广州市,越秀区,440104,在营（开业）,020,一致
254,02087609899,广州南实投资有限公司,不一致,广州南实投资有限公司,广州市南沙区市场和质量监督管理局,广州市南沙区黄阁麒麟新村麒天街7、9、11号；黄梅路406、408、410号首层之七,广东,广州市,南沙区,,在营（开业）,020,一致
255,02087684366,广州市朗杰电子科技有限公司,精确一致,广州市朗杰电子科技有限公司,广州市越秀区工商行政管理局,广州市越秀区先烈中路81号大院80、81、82号自编518、520房（仅限办公用途）*,广东,广州市,越秀区,440104,在营（开业）,020,一致
256,02087789888,广州华泰宾馆,精确一致,,,,,,,,,,
257,02087861868,广州日立压缩机,精确一致,,,,,,,,,,
258,02087876666*6004,碧泉空中温泉酒店,精确一致,,,,,,,,,,
259,02087931103,广州市从化街口果家美食店,精确一致,广州市从化街口果家美食店,广州市工商行政管理局从化分局街口所,广州市从化街口街新城东路荔香村4幢106铺,广东,广州市,从化区,,在营（开业）,020,一致
260,02087982466,江埔派出所,精确一致,,,,,,,,,,
261,02089008453,广州市运输有限公司汽车修造厂,精确一致,广州市运输有限公司汽车修造厂,广州市荔湾区工商行政管理局,广州市荔湾区鹤洞路219号,广东,广州市,荔湾区,440105,在营（开业）,020,一致
262,02120219988*35688,上海大智慧数据科技有限公司,精确一致,,,,,,,,,,
263,02122122888*4719,毕马威企业咨询有限公司,精确一致,,,,,,,,,,
264,02122288888,安永华明会计师事务所,精确一致,安永华明会计师事务所,北京市工商行政管理局东城分局,北京市东城区东长安街1号东方广场东方经贸城东三办公楼15、16层,北京,北京市,东城区,110101,在营（开业）,021,不一致
265,02123271699,第九人民医院,精确一致,,,,,,,,,,
266,02128902890,上汽通用汽车有限公司,精确一致,上汽通用汽车有限公司,上海市工商局,中国（上海）自由贸易试验区申江路1500号,上海,上海市,宝山区,310115,在营（开业）,021,一致
267,02131216888*3793,科力普,精确一致,,,,,,,,,,
