序号,单位电话,单位名称,查得名称,查得名称与单位名称是否一致,found
116,06356550320,平海家具制造有限公司,平海家具制造有限公司,精准一致,
117,053284913615,一汽解放青岛汽车有限公司,一汽解放青岛汽车厂,精准一致,一汽解放青岛汽车有限公司
118,02188228773,上海凯桥装饰有限公司,上海凯桥装饰有限公司,精准一致,
119,04768286502,赤峰欧黎洗涤有限公司,赤峰欧黎洗涤有限公司,精准一致,赤峰欧黎洗涤有限公司
120,02082853828,广州泗海印铁制罐有限公司,广州泗海印铁制罐有限公司(朱村街),精准一致,广州泗海印铁制罐有限公司
121,07526317198,惠州快捷五金制品有限公司,惠州快捷五金制品有限公司,精准一致,惠州快捷五金制品有限公司
122,041184726688,上岛咖啡阳光月秀店,上岛咖啡(阳光月秀店),精准一致,上岛咖啡(阳光月秀店)
123,075528065632,深圳市同兴达科技股份有限公司,深圳市同兴达科技有限公司,精准一致,深圳市同兴达科技有限公司
124,051262588408,嘉盛半导体苏州有限公司,嘉盛半导体苏州有限公司,精准一致,
125,07713243500,广州珠江物业酒店公司骋望部,广州珠江物业酒店公司骋望部,精准一致,广州珠江物业酒店管理有限公司南宁分公司
126,059527909123,涂岭中心小学,涂岭中心小学,精准一致,泉港嘉元安防
127,05585190009,江西博源堂药业有限公司亳州,江西博源堂药业有限公司亳州,精准一致,
128,051666777147,徐州鸣昊商务服务有限公司,徐州鸣昊商务服务有限公司,精准一致,
129,07753666881,卓越服饰有限公司,卓越服饰有限公司,精准一致,桂平市卓越服装有限公司
130,02135368699,上海炎裔文化传播有限公司,上海炎裔文化传播有限公司,精准一致,
131,03353372222,锦江之星秦皇岛火车站酒店,锦江之星秦皇岛火车站酒店,精准一致,锦江之星(迎宾路店)
132,051482962285,中国人寿保险股份有限公司,中国人寿保险股份有限公司(虎门营销服务部),精准一致,
133,01056602014,搜狐新动力信息技术有限公司,搜狐新动力信息技术有限公司,精准一致,
134,085124232019,龙申地板建材销售有限公司,龙申地板建材销售有限公司,精准一致,
135,037783817562,方城鸿旺牧业有限公司,方城鸿旺牧业有限公司,精准一致,
136,051385600449,南通万德科技有限公司,南通万德科技有限公司,精准一致,
137,075528707449,深圳市瑞阁美化妆品有限公司,深圳市瑞阁美化妆品有限公司,精准一致,
138,03517222677,江边城巫山烤鱼,江边城巫山烤鱼(长风街店),精准一致,江边城巫山烤鱼
139,045184693681,芳香熏酱园,芳香熏酱园(通江街),精准一致,芳香熏酱园
140,037980882090*8088209,洛龙区沛霖集成吊顶商行,洛阳市洛龙区沛霖集成吊顶商行,精准一致,
141,02452622746,裕民商城股份有限公司,裕民商城股份有限公司,精准一致,裕民商城北2门
142,057985389920,义乌市开开制花有限公司,义乌市开开制花有限公司,精准一致,
143,02865009336,四川怡诚石油天然气公司,四川怡诚石油天然气工程有限公司,精准一致,四川怡诚石油天然气工程有限公司
144,05948289905,莆田市源通交通安全有限公司,莆田市源通交通安全有限公司,精准一致,
145,09913768821,鑫瑞杰商贸有限责任公司,鑫瑞杰商贸有限责任公司,精准一致,
146,037158678789,郑州市粮食局第四粮油食品公司,郑州市粮食局第四粮油食品公司,精准一致,
147,04776470181,同源化工有限责任公司,同源化工有限责任公司,精准一致,
148,075526904897,沙河小学,沙河小学,精准一致,深圳市南山区沙河小学
149,04776211379,鄂托克旗政府投资工程办公室,政府投资工程基本建设办,精准一致,政府投资工程基本建设办
150,057685222667,台州临格电器有限公司,台州临格电器有限公司,精准一致,
151,05398411801,山东永佳动力股份有限公司,山东永佳动力股份有限公司,精准一致,
152,055162570856,肥西飞龙大酒店,肥西飞龙大酒店,精准一致,
153,02584891274,南京航空航天大学,南京航空航天大学,精准一致,
154,02385622397,重庆市中医院,重庆市中医院,精准一致,
155,09318842119,北京华联超市,北京华联生活超市(平凉路),精准一致,华联超市(平凉路)
156,05802028722,定海辰宇电子有限公司销售部,定海辰宇电子有限公司销售部,精准一致,昕欣电子
157,01060853346,北京家云捷诚文化有限公司,北京家云捷诚文化有限公司,精准一致,
158,03722482181,晨鸣纸业有限公司,晨鸣纸业有限公司,精准一致,
159,085185193180,星冉飞华教育信息咨询公司,星冉飞华教育信息咨询公司,精准一致,
160,03557023302,沁县交通运输局,沁县交通运输局,精准一致,交通运输局
161,02031104247,广州修闳医疗科技有限公司,广州修闳医疗科技有限公司,精准一致,
162,057463990233,奇帅电器有限公司,奇帅电器有限公司,精准一致,
163,037155886961,安平建筑劳务公司,安平建筑劳务公司,精准一致,
164,02368235999,重庆錾博医药公司,重庆錾博医药公司,精准一致,
165,03575553880,洪洞华翔集团有限公司,洪洞华翔集团有限公司,精准一致,
166,01064850818,新时代健康产业有限公司,新时代健康产业有限公司,精准一致,新时代健康产业
167,031185960001,高新区公安分局珠峰派出所,高新区公安分局珠峰派出所,精准一致,高新区公安分局珠峰派出所电话
168,05963324501,福建建发工程咨询公司漳州公司,福建建发工程咨询公司漳州公司,精准一致,
169,02782329989,武汉天龙饲料有限公司,武汉天龙饲料有限公司,精准一致,武汉天龙饲料有限公司
170,045185537766,哈尔滨田润粮油贸易有限公司,哈尔滨田润粮油贸易有限公司,精准一致,
171,03598023065,永济市公安局,永济市公安局,精准一致,永济市公安局
172,07732580559,泰康人寿桂林分公司,泰康人寿(广西分公司桂林中心支公司),精准一致,泰康人寿(广西分公司桂林中心支公司)
173,01050915702,玉泉嘉园餐厅,玉泉嘉园餐厅,精准一致,
174,09343258588,金钻灯饰城,金钻灯饰城,精准一致,金钻灯饰城
175,037126888242,宋都农商银行,宋都农商银行,精准一致,中国信合(仇楼信用社)
176,037160873333,河南正商置业有限公司,河南正商置业有限公司,精准一致,正商红溪谷
177,06635686237,美宜佳,美宜佳(3853号店常平兴市四街店),精准一致,
178,037966683080,玉满居宾馆,玉满居宾馆,精准一致,
179,04295704016,国网白塔供电所,国网白塔供电所,精准一致,国家电网(兴城白塔供电营业厅)
180,051688300580,徐州睢宁蔚蓝塑料制品有限公司,睢宁蔚蓝塑料制品有限公司,精准一致,
181,055166227984,合肥鑫晟光电科技有限公司,合肥鑫晟光电科技有限公司,精准一致,
182,02151030110,上海同济大学保卫处,上海同济大学保卫处,精准一致,
183,04772261455,鄂尔多斯市指南针教育公司,鄂尔多斯市指南针教育公司,精准一致,鄂尔多斯市指南针教育有限公司
184,07523160000,惠州三星电子有限公司,惠州三星电子有限公司,精准一致,
185,075589531200,深圳国美电器有限公司,国美电器(深圳坂田商业广场店),精准一致,国美电器(深圳坂田商业广场店)
186,05368327573,山溪精舍商贸有限公司,山溪精舍商贸有限公司,精准一致,
187,053286111166,天安人寿黄岛支公司,天安人寿黄岛支公司,精准一致,
188,05363257777,多路驰橡胶股份有限公司,多路驰橡胶股份有限公司,精准一致,多路驰橡胶股份有限公司
189,06346271781,莱芜市莱城区莲河学校,莱芜市莱城区莲河学校,精准一致,莲河学校
190,07525201330,龙光物业,龙光物业,精准一致,
191,02869193678,成都居之家恋巢装饰有限公司,成都居之家恋巢装饰有限公司,精准一致,
192,075523051799,深圳市阿宝房地产投资管理公司,深圳市阿宝房地产投资管理公司,精准一致,
193,02885107796,陈麻婆豆腐餐饮,陈麻婆豆腐餐饮,精准一致,
194,059183357896,福建医科大学附属协和医院,福建医科大学附属协和医院,精准一致,福建医科大学附属协和医院
195,043184141336,铭岩鹿业有限公司,铭岩鹿业有限公司,精准一致,
196,075782560736,佛山市绘意建材有限公司,佛山市绘意建材有限公司,精准一致,佛山市绘意建材有限公司
197,03125715683,河北帅康座椅,河北帅康座椅,精准一致,河北帅康座椅有限公司(北京办事处)
198,03583711001,天安财产保险吕梁中心支公司,天安财险(吕梁中心支公司),精准一致,天安财险(吕梁中心支公司)
199,031188410668,新乐市恒达灯具厂,新乐市恒达灯具厂,精准一致,石家庄恒达灯具厂
200,075584652951,深圳市顺瑞丰科技有限公司,深圳市顺瑞丰科技有限公司,精准一致,
201,02087225270,广州市银利有限公司,广州市银利有限公司,精准一致,
202,02087419363,广州申通物流有限公司,广州申通物流有限公司,精准一致,
203,076985786888,东莞市莞泰保安服务有限公司,东莞市莞泰保安服务有限公司第四分公司,精准一致,东莞市莞泰保安服务有限公司第四分公司
204,037167857961,郑州中鼎机器制造有限公司,郑州中鼎机器制造有限公司,精准一致,郑州中鼎重型机器制造有限公司
205,043184626051*8888,一汽客车有限公司,一汽客车有限公司,精准一致,
206,02138286688,安特金属成形有限责任公司,安特金属成形(上海)有限公司,精准一致,安特金属成形(上海)有限公司
207,05356212899,山东国泰医疗器械有限公司,山东国泰医疗器械有限公司,精准一致,山东国泰医疗器械有限公司
208,059587881337,福建省惠东建筑工程有限公司,福建省惠东建筑工程有限公司,精准一致,惠东建筑工程有限公司
209,02884633572,陵川特种工业有限公司,成都陵川特种工业有限责任公司,精准一致,成都陵川特种工业有限责任公司
210,08783116545,中国人民人寿楚雄中心支公司,中国人民人寿楚雄中心支公司,精准一致,
211,073189677175,上海友众信业服务长沙分公司,上海友众信业服务长沙分公司,精准一致,
212,04596361616,西门子助听器,西门子助听器(大庆洪文验配中心店),精准一致,西门子助听器(大庆洪文验配中心店)
213,07792060588,北海市龙浩光电科技有限公司,北海市龙浩光电科技有限公司,精准一致,
214,02759200002,武汉市公交集团第一营运公司,武汉市公交集团第一营运公司(堤边路),精准一致,武汉市公交集团第一营运公司(堤边路)
215,05648528627,安徽建宇建筑工程有限公司,安徽建宇建筑工程有限公司,精准一致,安徽建宇建筑工程有限公司
216,03702611518,梦飞舞蹈文化传媒有限公司,梦飞舞蹈文化传媒有限公司,精准一致,
217,051257367888*3106,纬创资通昆山有限公司,纬创资通(昆山)有限公司,精准一致,
218,057756591720,温州市黄杨便民服务有限公司,温州市黄杨便民服务有限公司,精准一致,
219,02282129971,天津三星视界有限公司,天津三星视界有限公司,精准一致,天津三星视界有限公司
220,053285195377,青岛市黄岛区福爱老年公寓,福爱老年公寓,精准一致,华德宾馆
221,09338227735,平凉建业建筑有限责任公司,平凉建业建筑有限责任公司,精准一致,
222,02783525668,衣所名品服饰,衣所名品服饰,精准一致,
223,02084476927,广州市海珠区商务职业学校,广州市海珠区商务职业学校,精准一致,广州市海珠商务职业学校
224,05433330119,济南金盾工程公司滨州分公司,济南金盾工程公司滨州分公司,精准一致,
225,02425197110,康师傅（沈阳）饮品有限公司,康师傅（沈阳）饮品有限公司,精准一致,
226,057985937878,东方证券,东方证券(义乌宾王路证券营业部),精准一致,东方证券股份有限公司(义乌宾王路证券营业部)
227,01080779077,北京玖鼎伟业文化发展有限公司,北京玖鼎伟业文化发展有限公司,精准一致,玖鼎足浴城(回龙观店)
228,01067824888,北京奔驰汽车有限公司,北京奔驰汽车有限公司,精准一致,北京奔驰汽车有限公司
229,07526301111,华通电脑惠州有限公司,华通电脑(惠州)有限公司,精准一致,华通电脑(惠州)有限公司
230,03594065057,山西华晋有限公司,山西华晋纺织印染有限公司,精准一致,
231,037128975190,太平洋保险有限公司,太平洋保险有限公司,精准一致,
232,03723946843,顺风运输有限公司,顺风运输有限公司,精准一致,
233,075529052136,深圳市禾彩电子有限公司,深圳市禾彩电子有限公司,精准一致,
234,05397707707,山东保泰节能门窗公司,山东保泰节能门窗公司,精准一致,
235,057486522638,宁波市清源园林有限公司,宁波市清源园林有限公司,精准一致,
236,04176663666,营口日昇建筑安装工程有限公司,营口日昇建筑安装工程有限公司,精准一致,
237,03582238632,山西紫晨大健康科技有限公司,山西紫晨大健康科技有限公司,精准一致,
238,05565672553,中国平安安庆分公司,中国平安安庆分公司,精准一致,
239,06323691111,枣庄市立新小学,枣庄市立新小学,精准一致,枣庄市立新小学 办公室1
240,02431016423,成大重科机械有限公司,成大重科机械有限公司,精准一致,
241,03125596235,珈璇礼品,珈璇礼品,精准一致,珈璇礼品
242,05943556628,欧米加实业有限公司,欧米加实业有限公司,精准一致,
243,09352110254*11,兰州铁路集团有限公司,兰州铁路集团有限公司,精准一致,
244,076936681111,黄江大顺电子有限公司,黄江大顺电子有限公司,精准一致,
245,075489811777*032,必佳实业有限公司,必佳实业有限公司,精准一致,
246,02031061415,一间茶馆,一间茶馆(贝岗村大街),精准一致,一间茶馆
247,08736130939,泰康人寿保险股份有限公司,泰康人寿保险股份有限公司(青岛分公司),精准一致,弥勒县弥阳镇城东旅社
248,057463268201,宁波清清环保电器有限公司,宁波清清环保电器有限公司,精准一致,宁波清清环保电器有限公司
249,03598841428,河北星竣建筑工程有限公司,河北星竣建筑工程有限公司,精准一致,
250,03722116738,安阳市盛强制衣,文峰区盛强内衣加工部,精准一致,
251,053182769190,济南大学,济南大学,精准一致,
252,037163556892,郑州轻工业学院,郑州轻工业学院,精准一致,郑州轻工业学院|老干部处
253,08576222371,国土资源局,国土资源局,精准一致,威宁县国土资源局-办公室
254,02431354900,中铁物流集团辽宁有限公司,中铁物流集团辽宁有限公司,精准一致,
255,02120221088,上海美勤装饰工程有限公司,上海美勤装饰工程有限公司,精准一致,
256,02362623366,重庆臻兴汇融信息技术有限公司,重庆臻兴汇融信息技术有限公司,精准一致,重庆臻兴汇融信息技术有限公司
257,075527156208,森科五金深圳有限公司,森科五金(深圳)有限公司,精准一致,森科五金(深圳)有限公司
258,057762926060,乐清市富强电器厂,乐清市富强电器厂,精准一致,乐清市富强电器厂
259,051267575697,北京京邦达贸易有限公司,北京京邦达贸易有限公司,精准一致,
260,057758117072,中国人寿平阳支公司,中国人寿平阳支公司,精准一致,
261,03573653066,襄汾县鑫运通汽车有限公司,襄汾县鑫运通汽车有限公司,精准一致,
262,087161365897,云南铜业股份有限公司,云南铜业股份有限公司(人民东路),精准一致,
263,075586717010,厚德医疗健康管理深圳公司,厚德医疗健康管理深圳公司,精准一致,
264,02865283478,阆中明宇善雅酒店,阆中明宇善雅酒店,精准一致,
265,02367607824,重庆市泉承出租汽车有限公司,重庆市泉承出租汽车公司,精准一致,重庆市泉承出租汽车公司
266,057687416720,玉环爱佳家具有限公司,浙江玉环爱佳家具有限公司,精准一致,楚门镇玉环爱佳家具有限公司
267,059585502220,晋江市东石中心小学,晋江市东石中心小学,精准一致,中心小学
268,02132576701,上海诺仪服饰设计有限公司,上海诺仪服饰设计有限公司,精准一致,
269,076022614611,德鸿自动化设备有限公司,德鸿自动化设备有限公司,精准一致,
270,05592310138,安徽昌法律师事务所,安徽昌法律师事务所,精准一致,安徽昌法律师事务所
271,02425207133,沈阳信隆科技股份有限公司,沈阳信隆科技股份有限公司,精准一致,
272,073189903777,湖南天豪保安服务有限公司,湖南天豪保安服务有限公司,精准一致,湖南天豪保安服务有限公司
273,03762086689,光山县孙铁铺镇舒堂小学,光山县孙铁铺镇舒堂小学,精准一致,
274,05942110999,飞天网络技术有限公司,飞天网络技术有限公司,精准一致,
275,02368623943,重庆旗胜清洁有限公司,重庆旗胜清洁有限公司,精准一致,旗胜清洁有限公司
276,02137818168*71910,广达上海制造城,广达上海制造城,精准一致,
277,02768893732,武汉市爱尔眼科医院,武汉市爱尔眼科医院,精准一致,
278,03562192911,晋城市凤博工贸有限公司,晋城市凤博工贸有限公司,精准一致,
279,05993370188,政和县唛克疯餐饮有限公司,政和县唛克疯餐饮有限公司,精准一致,
280,059522867576,福建泉州润毅商贸,泉州润毅商贸有限公司,精准一致,泉州润毅商贸有限公司
281,051268708097,安能物流,安能物流(机电五金城营业部),精准一致,苏州恒邦物流有限公司(机电五金城营业部)
282,037167163550,河南省电力勘测设计院,河南省电力勘测设计院,精准一致,
283,075527479208*630,深圳市长盛高精密五金有限公司,深圳长盛高精密五金有限公司,精准一致,
284,052780900818,江苏双鹿电器有限公司,江苏双鹿电器有限公司,精准一致,江苏双鹿电器有限公司
285,051250352456,东庭房产,东庭房产,精准一致,东庭房产
286,07532289558,柠健身,柠健身,精准一致,柠健身俱乐部(客都大酒店店)
287,01059470167,北京新隆嘉超市管理有限公司,北京新隆嘉超市管理有限公司,精准一致,新隆嘉供销超市
288,07155065555,莱克假日酒店,莱克假日酒店,精准一致,赤壁莱克假日酒店
289,06338786113,日照瀚信塑料有限公司,日照瀚信塑料有限公司,精准一致,
290,07592356529,广东湛化集团有限公司,广东湛化集团有限公司,精准一致,
291,08743016669,曲靖市德和实业有限公司,曲靖市德和实业有限公司,精准一致,
292,03186667747,衡水强盛工程建设有限公司,衡水强盛工程建设有限公司,精准一致,
293,073183699136,湖南群慧会计咨询有限公司,湖南群慧会计咨询有限公司,精准一致,
294,059188000505,福州住电装有限公司,福州住电装有限公司,精准一致,福州住电装有限公司
295,02586576554,苏交科集团股份有限公司,苏交科集团股份有限公司,精准一致,苏交科集团股份有限公司
296,02131261263,上海港湾集团,上海港湾集团,精准一致,上海港湾软地基设计研究院
297,07193797777,鸿鑫汽车有限公司,房县鸿鑫汽车销售有限公司,精准一致,房县鸿鑫汽车销售有限公司
298,057387983818,海宁圣元达经编有限公司,海宁圣元达经编有限公司,精准一致,海宁圣元达经编有限公司
299,075528067151,深圳市猛进电子科技有限公司,深圳市猛进电子科技有限公司,精准一致,深圳市猛进电子科技有限公司
300,03185826883,太平人寿衡水中心支公司,太平人寿衡水中心支公司,精准一致,太平人寿办公室
301,01053385195,北京筋斗云旅行社有限公司,北京筋斗云旅行社有限公司,精准一致,
302,03706988522,北京恒昌惠诚商丘分公司,北京恒昌惠诚商丘分公司,精准一致,
303,03722558116,广州义游网络公司安阳分公司,广州义游网络公司安阳分公司,精准一致,
304,075536518118,深圳东洲新能源科技有限公司,深圳东洲新能源科技有限公司,精准一致,深圳东洲新能源科技有限公司
